INFO - [Jan 20 10:18:51] launcher version: 1.0.0
INFO - [Jan 20 10:18:51] use goagent version:3.1.30
INFO - [Jan 20 10:18:51] goagent 3.1.30 started Z:\XX-Net\goagent\3.1.30\start.py
DEBUG - [Jan 20 10:18:54] HTTP 127.0.0.1:50244 "GET / 
DEBUG - [Jan 20 10:18:54] HTTP 127.0.0.1:50251 "GET /css/bootstrap.min.css 
DEBUG - [Jan 20 10:18:54] HTTP 127.0.0.1:50253 "GET /img/wide-screen2.png 
DEBUG - [Jan 20 10:18:54] HTTP 127.0.0.1:50252 "GET /css/bootstrap-switch.min.css 
DEBUG - [Jan 20 10:18:55] HTTP 127.0.0.1:50255 "GET /js/bootstrap.min.js 
DEBUG - [Jan 20 10:18:55] HTTP 127.0.0.1:50254 "GET /js/jquery-1.11.2.min.js 
DEBUG - [Jan 20 10:18:55] HTTP 127.0.0.1:50260 "GET /js/frame_action.js 
DEBUG - [Jan 20 10:18:55] HTTP 127.0.0.1:50259 "GET /js/ie-emulation-modes-warning.js 
DEBUG - [Jan 20 10:18:55] HTTP 127.0.0.1:50261 "GET /js/menu_action.js 
DEBUG - [Jan 20 10:18:55] HTTP 127.0.0.1:50262 "GET /block/goagent/status.html 
DEBUG - [Jan 20 10:18:55] HTTP 127.0.0.1:50263 "GET /js/jquery-1.11.2.min.js?_=1421720335400 
DEBUG - [Jan 20 10:18:55] HTTP 127.0.0.1:50264 "GET /js/jquery.timer.js?_=1421720335401 
DEBUG - [Jan 20 10:19:07] HTTP 127.0.0.1:50284 "GET / 
DEBUG - [Jan 20 10:19:07] HTTP 127.0.0.1:50291 "GET /css/bootstrap.min.css 
DEBUG - [Jan 20 10:19:07] HTTP 127.0.0.1:50293 "GET /img/wide-screen2.png 
DEBUG - [Jan 20 10:19:07] HTTP 127.0.0.1:50292 "GET /css/bootstrap-switch.min.css 
DEBUG - [Jan 20 10:19:07] HTTP 127.0.0.1:50295 "GET /js/bootstrap.min.js 
DEBUG - [Jan 20 10:19:07] HTTP 127.0.0.1:50294 "GET /js/jquery-1.11.2.min.js 
DEBUG - [Jan 20 10:19:07] HTTP 127.0.0.1:50297 "GET /js/ie-emulation-modes-warning.js 
DEBUG - [Jan 20 10:19:07] HTTP 127.0.0.1:50299 "GET /js/frame_action.js 
DEBUG - [Jan 20 10:19:07] HTTP 127.0.0.1:50304 "GET /js/menu_action.js 
DEBUG - [Jan 20 10:19:07] HTTP 127.0.0.1:50305 "GET /block/goagent/status.html 
DEBUG - [Jan 20 10:19:08] HTTP 127.0.0.1:50306 "GET /favicon.ico 
DEBUG - [Jan 20 10:19:08] HTTP 127.0.0.1:50307 "GET /js/jquery-1.11.2.min.js?_=1421720347798 
DEBUG - [Jan 20 10:19:08] HTTP 127.0.0.1:50308 "GET /js/jquery.timer.js?_=1421720347799 
WARNING - [Jan 20 10:19:51] check_update except:<urlopen error EOF occurred in violation of protocol (_ssl.c:581)>
INFO - [Jan 20 10:39:45] launcher version: 1.0.0
INFO - [Jan 20 10:39:45] use goagent version:3.1.30
INFO - [Jan 20 10:39:45] goagent 3.1.30 started Z:\XX-Net\goagent\3.1.30\start.py
